Stefan Edberg
Mats Wilander
Boris Becker
Ivan Lendl
no competition
Pat Cash
Michael Chang
Andres Gomez
Pete Sampras
Jim Courier
Michael Stich
Andre Agassi
Sergi Bruguera
Thomas Muster
Yevgeny Kafelnikov
Richard Krajicek
Gustavo Kuerten
Patrick Rafter
Petr Korda
Carlos Moya
Marat Safin
Goran Ivanisevic
Lleyton Hewitt
Thomas Johansson
Albert Costa
Juan Carlos Ferrero
Roger Federer
Andy Roddick
Gaston Gaudio
Rafael Nadal
Novak Djokovic
Juan M del Potro
Andy Murray
Stan Wawrinka
Marin Cilic
