Country
Australia
Qatar
India
Australia
New Zealand
Australia
Davis Cup
France
Croatia
Chile
The Netherlands
United States of America
Argentina
Brazil
France
United States of America
U.A.E
Mexico
Brazil
United States of America
United States of America
Davis Cup
Morocco
United States of America
Monaco
Spain
Romania
Portugal
Germany
Spain
Italy
Germany
France
France
Germany
Great Britain
The Netherlands
Great Britain
Great Britain
Sweden
Germany
United States of America
Germany
Colombia
United States of America
Switzerland
Croatia
Austria
United States of America
Canada
United States of America
United States of America
United States of America
Davis Cup
France
Malaysia
China
China
Japan
China
Russia
Sweden
Austria
Spain
Switzerland
France
England
